,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
257,367,e6f8ecc1336593475b8c95f802c04fb487b7f9e8a3e37d49c210be708b267c27,SPA 3,"Las pinturas de Kahlo fueron inspiradas por la cultura Mexicana y algunas temas de estas pinturas son género, raza y las clases sociales.","Las pinturas de Kahlo fueron inspiradas por la cultura Mexicana y [algunas]{algunos}<ga:mf:det:aty:inan> temas de estas pinturas son género, raza y las clases sociales.",1,[algunas]{algunos}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,algunos,algunas,"['Las', 'pinturas', 'de', 'Kahlo', 'fueron', 'inspiradas', 'por', 'la', 'cultura', 'Mexicana', 'y', 'algunos', 'temas', 'de', 'estas', 'pinturas', 'son', 'género', ',', 'raza', 'y', 'las', 'clases', 'sociales', '.']","[11, 37]",ga:mf:det:aty,"['Las', 'pinturas', 'de', 'Kahlo', 'fueron', 'inspiradas', 'por', 'la', 'cultura', 'Mexicana', 'y', 'algunas', 'temas', 'de', 'estas', 'pinturas', 'son', 'género', ',', 'raza', 'y', 'las', 'clases', 'sociales', '.']",gender agreement
257,367,116b647aa51a02498065073bcdd3c20d459170a5e7ab7f432a5f1f0f7b7ba12e,SPA 3,Kahla nunca recuperó completamente y el dolor que ella sentaba fue una tema popular de sus pinturas.,Kahla nunca recuperó completamente y el dolor que ella sentaba fue [una]{un}<ga:mf:det:aty:inan> tema popular de sus pinturas.,1,[una]{un}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,un,una,"['Kahla', 'nunca', 'recuperó', 'completamente', 'y', 'el', 'dolor', 'que', 'ella', 'sentaba', 'fue', 'un', 'tema', 'popular', 'de', 'sus', 'pinturas', '.']","[11, 30]",ga:mf:det:aty,"['Kahla', 'nunca', 'recuperó', 'completamente', 'y', 'el', 'dolor', 'que', 'ella', 'sentaba', 'fue', 'una', 'tema', 'popular', 'de', 'sus', 'pinturas', '.']",gender agreement
257,367,42670b399f4fa9bab36c3d2c5ebc9a910b4cfde4fc7cb51c97b9d8e26ba6ca95,SPA 3,"Al principio, ella era conocido solo por esta razón.","Al principio, ella era [conocido]{conocida}<ga:fm:adj:an> solo por esta razón.",1,[conocido]{conocida}<ga:fm:adj:an>,0,ga:fm:adj:an,conocida,conocido,"['Al', 'principio', ',', 'ella', 'era', 'conocida', 'solo', 'por', 'esta', 'razón', '.']","[5, 17]",ga:fm,"['Al', 'principio', ',', 'ella', 'era', 'conocido', 'solo', 'por', 'esta', 'razón', '.']",gender agreement
257,367,070bbb7dddd0c6651471ec280b9684f4fcc2196d1a082b95ab2e933d86779b14,SPA 3,Pienso que ella es un inspiración porque ella era feminista and no tenía miedo sobre concordando con las reglas del sociedad.,Pienso que ella es [un]{una}<ga:fm:det:inan> inspiración porque ella era feminista and no tenía miedo sobre concordando con las reglas del sociedad.,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Pienso', 'que', 'ella', 'es', 'una', 'inspiración', 'porque', 'ella', 'era', 'feminista', 'and', 'no', 'tenía', 'miedo', 'sobre', 'concordando', 'con', 'las', 'reglas', 'del', 'sociedad', '.']","[4, 27]",ga:fm,"['Pienso', 'que', 'ella', 'es', 'un', 'inspiración', 'porque', 'ella', 'era', 'feminista', 'and', 'no', 'tenía', 'miedo', 'sobre', 'concordando', 'con', 'las', 'reglas', 'del', 'sociedad', '.']",gender agreement
258,369,54919a6415e7030094b4a68f8cac77b9911b98c2fc2dc6a8d7479c9ad9e6f86f,SPA 3,La mamá de Cruise era muy atento pero el papá de Cruise era malo.,La mamá de Cruise era muy [atento]{atenta}<ga:fm:adj:an> pero el papá de Cruise era malo.,1,[atento]{atenta}<ga:fm:adj:an>,0,ga:fm:adj:an,atenta,atento,"['La', 'mamá', 'de', 'Cruise', 'era', 'muy', 'atenta', 'pero', 'el', 'papá', 'de', 'Cruise', 'era', 'malo', '.']","[6, 22]",ga:fm,"['La', 'mamá', 'de', 'Cruise', 'era', 'muy', 'atento', 'pero', 'el', 'papá', 'de', 'Cruise', 'era', 'malo', '.']",gender agreement
258,369,114a5274914c51b4217b8aacd71b3b183f82c2173ab587580f9de3f64a693678,SPA 3,Él se ha metido en problemas muchas y ojalá que él se converte una persona mejor.,Él se ha metido en problemas [muchas]{muchos}<ga:mf:det:aty:inan> y ojalá que él se converte una persona mejor.,1,[muchas]{muchos}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,muchos,muchas,"['Él', 'se', 'ha', 'metido', 'en', 'problemas', 'muchos', 'y', 'ojalá', 'que', 'él', 'se', 'converte', 'una', 'persona', 'mejor', '.']","[6, 24]",ga:mf:det:aty,"['Él', 'se', 'ha', 'metido', 'en', 'problemas', 'muchas', 'y', 'ojalá', 'que', 'él', 'se', 'converte', 'una', 'persona', 'mejor', '.']",gender agreement
259,371,43a5917add038192b7ca34e320319ead80d33b7f98a77e5b4c3709edd03e147c,SPA 2,Coco Chanel es la diseñadora de modas muy famosa.,Coco Chanel es la diseñadora de [modas]{moda}<na:sp:noun:inan> muy famosa.,1,[modas]{moda}<na:sp:noun:inan>,0,na:sp:noun:inan,moda,modas,"['Coco', 'Chanel', 'es', 'la', 'diseñadora', 'de', 'moda', 'muy', 'famosa', '.']","[6, 17]",na:sp,"['Coco', 'Chanel', 'es', 'la', 'diseñadora', 'de', 'modas', 'muy', 'famosa', '.']",number agreement
259,371,8c37e8d3e74c569d2165e4471dea158b40261df769d0a038df7bb3cd00fe5e88,SPA 2,"Aunque el hombre nunca fue fiel a Chanel en su romance de una década, se convirtió en uno de su más memorable y querido amor.5 años más tarde, Chanel se reunió con el apuesto Duque de Westminster, Hugh ""Bendor"" Grosvenor.","Aunque el hombre nunca fue fiel a Chanel en su romance de una década, se convirtió en uno de su más memorable y querido [amor]{amores}<na:ps:noun:an>.5 años más tarde, Chanel se reunió con el apuesto Duque de Westminster, Hugh ""Bendor"" Grosvenor.",1,[amor]{amores}<na:ps:noun:an>,0,na:ps:noun:an,amores,amor,"['Aunque', 'el', 'hombre', 'nunca', 'fue', 'fiel', 'a', 'Chanel', 'en', 'su', 'romance', 'de', 'una', 'década', ',', 'se', 'convirtió', 'en', 'uno', 'de', 'su', 'más', 'memorable', 'y', 'querido', 'amores', '.', '5', 'años', 'más', 'tarde', ',', 'Chanel', 'se', 'reunió', 'con', 'el', 'apuesto', 'Duque', 'de', 'Westminster', ',', 'Hugh', '""', 'Bendor', '""', 'Grosvenor', '.']","[25, 74]",na:ps,"['Aunque', 'el', 'hombre', 'nunca', 'fue', 'fiel', 'a', 'Chanel', 'en', 'su', 'romance', 'de', 'una', 'década', ',', 'se', 'convirtió', 'en', 'uno', 'de', 'su', 'más', 'memorable', 'y', 'querido', 'amor', '.', '5', 'años', 'más', 'tarde', ',', 'Chanel', 'se', 'reunió', 'con', 'el', 'apuesto', 'Duque', 'de', 'Westminster', ',', 'Hugh', '""', 'Bendor', '""', 'Grosvenor', '.']",number agreement
259,371,68c3d82fa7063903324b32b9bd6b9d2f9fe0c049590a1cfc0bb66edb0acd11e4,SPA 2,"Su línea de rechazo es una de sus frases más célebres: ""¡ha habido muchas duquesas de Westminster, pero hay sólo un Chanel!""","Su línea de rechazo es una de sus frases más célebres: ""¡ha habido muchas duquesas de Westminster, pero hay sólo [un]{una}<ga:fm:det:an> Chanel!""",1,[un]{una}<ga:fm:det:an>,0,ga:fm:det:an,una,un,"['Su', 'línea', 'de', 'rechazo', 'es', 'una', 'de', 'sus', 'frases', 'más', 'célebres', ':', '""', '¡', 'ha', 'habido', 'muchas', 'duquesas', 'de', 'Westminster', ',', 'pero', 'hay', 'sólo', 'una', 'Chanel', '!', '""']","[24, 53]",ga:fm,"['Su', 'línea', 'de', 'rechazo', 'es', 'una', 'de', 'sus', 'frases', 'más', 'célebres', ':', '""', '¡', 'ha', 'habido', 'muchas', 'duquesas', 'de', 'Westminster', ',', 'pero', 'hay', 'sólo', 'un', 'Chanel', '!', '""']",gender agreement
259,371,30bd0b7892943acb782e17d7782a635ff74f41515c7e238acc2004edfabddf75,SPA 2,"En la edad de 87 años, Chanel seguía siendo soltero.","En la edad de 87 años, Chanel seguía siendo [soltero]{soltera}<ga:fm:adj:an>.",1,[soltero]{soltera}<ga:fm:adj:an>,0,ga:fm:adj:an,soltera,soltero,"['En', 'la', 'edad', 'de', '87', 'años', ',', 'Chanel', 'seguía', 'siendo', 'soltera', '.']","[10, 23]",ga:fm,"['En', 'la', 'edad', 'de', '87', 'años', ',', 'Chanel', 'seguía', 'siendo', 'soltero', '.']",gender agreement
259,371,0be35702b7a88c392498af535f6c43581fc040800d422fe75e64678d0767f635,SPA 2,Era elegante y seguro.,Era elegante y [seguro]{segura}<ga:fm:adj:an>.,1,[seguro]{segura}<ga:fm:adj:an>,0,ga:fm:adj:an,segura,seguro,"['Era', 'elegante', 'y', 'segura', '.']","[3, 9]",ga:fm,"['Era', 'elegante', 'y', 'seguro', '.']",gender agreement
260,372,975c435a68e04f5a205e1ddca60701b03a1e518e11375b8d6af23bde696abf04,SPA 1,Ella liberado un marca de ropa con K-Mart en 2010.,Ella liberado [un]{una}<ga:fm:det:inan> marca de ropa con K-Mart en 2010.,1,[un]{una}<ga:fm:det:inan>,0,ga:fm:det:inan,una,un,"['Ella', 'liberado', 'una', 'marca', 'de', 'ropa', 'con', 'K', '-', 'Mart', 'en', '2010', '.']","[2, 16]",ga:fm,"['Ella', 'liberado', 'un', 'marca', 'de', 'ropa', 'con', 'K', '-', 'Mart', 'en', '2010', '.']",gender agreement
261,373,7a82d40165a483796277c73eaa97bced2d7b3d9e30ed5750a3c7d3a5bfc6cf63,SPA 2,Carli Lloyd es un jugador de fútbol femenino para el equipo nacional de los Estados Unidos.,Carli Lloyd es un [jugador]{jugadora}<ga:fm:noun:an> de fútbol femenino para el equipo nacional de los Estados Unidos.,1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Carli', 'Lloyd', 'es', 'un', 'jugadora', 'de', 'fútbol', 'femenino', 'para', 'el', 'equipo', 'nacional', 'de', 'los', 'Estados', 'Unidos', '.']","[4, 22]",ga:fm,"['Carli', 'Lloyd', 'es', 'un', 'jugador', 'de', 'fútbol', 'femenino', 'para', 'el', 'equipo', 'nacional', 'de', 'los', 'Estados', 'Unidos', '.']",gender agreement
261,373,cb483f3c3e1ed619aad39e7da72334769fb1216a2cd35c80341df178b44b17a9,SPA 2,Ella juega defensa y ofensiva y es un jugador muy talentoso.,Ella juega defensa y ofensiva y es un [jugador]{jugadora}<ga:fm:noun:an> muy talentoso.,1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Ella', 'juega', 'defensa', 'y', 'ofensiva', 'y', 'es', 'un', 'jugadora', 'muy', 'talentoso', '.']","[8, 21]",ga:fm,"['Ella', 'juega', 'defensa', 'y', 'ofensiva', 'y', 'es', 'un', 'jugador', 'muy', 'talentoso', '.']",gender agreement
261,373,6552ef7b195486e89734ef5cdab62a6011f9dc506cf7348592a45408dd483670,SPA 2,Yo también soy un jugador de fútbol y he mirado hacia ella desde que era pequeña.,Yo también soy un [jugador]{jugadora}<ga:fm:noun:an> de fútbol y he mirado hacia ella desde que era pequeña.,1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Yo', 'también', 'soy', 'un', 'jugadora', 'de', 'fútbol', 'y', 'he', 'mirado', 'hacia', 'ella', 'desde', 'que', 'era', 'pequeña', '.']","[4, 22]",ga:fm,"['Yo', 'también', 'soy', 'un', 'jugador', 'de', 'fútbol', 'y', 'he', 'mirado', 'hacia', 'ella', 'desde', 'que', 'era', 'pequeña', '.']",gender agreement
261,373,d1c8232fe41880f57e787023a0241d40159bc4cff51c96ca980fc453d90d38e0,SPA 2,Ella también es un jugador de equipo y con frecuencia ayuda en muchos goles.,Ella también es un [jugador]{jugadora}<ga:fm:noun:an> de equipo y con frecuencia ayuda en muchos goles.,1,[jugador]{jugadora}<ga:fm:noun:an>,0,ga:fm:noun:an,jugadora,jugador,"['Ella', 'también', 'es', 'un', 'jugadora', 'de', 'equipo', 'y', 'con', 'frecuencia', 'ayuda', 'en', 'muchos', 'goles', '.']","[4, 20]",ga:fm,"['Ella', 'también', 'es', 'un', 'jugador', 'de', 'equipo', 'y', 'con', 'frecuencia', 'ayuda', 'en', 'muchos', 'goles', '.']",gender agreement
