,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
55,89,2fede2d57f1ed5055b9cec778823c30d42366348337264730ebd34f276565a85,SPA 2,"Me gusta que ella está simpatica, comica, generosa, y un inspirador a muchos gentes.","Me gusta que ella está simpatica, comica, generosa, y un inspirador a [muchos]{muchas}<ga:fm:det:an> [gentes]{gente}<in:p:noun:an>.",2,[gentes]{gente}<in:p:noun:an>,1,in:p:noun:an,gente,gentes,"['Me', 'gusta', 'que', 'ella', 'está', 'simpatica', ',', 'comica', ',', 'generosa', ',', 'y', 'un', 'inspirador', 'a', 'muchas', 'gente', '.']","[16, 35]",in:p,"['Me', 'gusta', 'que', 'ella', 'está', 'simpatica', ',', 'comica', ',', 'generosa', ',', 'y', 'un', 'inspirador', 'a', 'muchas', 'gentes', '.']",number agreement
55,89,3152e5d1fc9e88560cb850f59a4a6b98ca05cb01f0fd54cf6520eff9c23a59fd,SPA 2,Yo quiero ir a una otra programa en vivo.,Yo quiero ir a [una]{un}<ga:mf:det:aty:inan> [otra]{otro}<ga:mf:det:aty:inan> programa en vivo.,2,[una]{un}<ga:mf:det:aty:inan>,0,ga:mf:det:aty:inan,un,una,"['Yo', 'quiero', 'ir', 'a', 'un', 'otro', 'programa', 'en', 'vivo', '.']","[4, 15]",ga:mf:det:aty,"['Yo', 'quiero', 'ir', 'a', 'una', 'otro', 'programa', 'en', 'vivo', '.']",gender agreement
55,89,3152e5d1fc9e88560cb850f59a4a6b98ca05cb01f0fd54cf6520eff9c23a59fd,SPA 2,Yo quiero ir a una otra programa en vivo.,Yo quiero ir a [una]{un}<ga:mf:det:aty:inan> [otra]{otro}<ga:mf:det:aty:inan> programa en vivo.,2,[otra]{otro}<ga:mf:det:aty:inan>,1,ga:mf:det:aty:inan,otro,otra,"['Yo', 'quiero', 'ir', 'a', 'un', 'otro', 'programa', 'en', 'vivo', '.']","[5, 16]",ga:mf:det:aty,"['Yo', 'quiero', 'ir', 'a', 'un', 'otra', 'programa', 'en', 'vivo', '.']",gender agreement
56,93,0b15264898a844c43a7b036e69a910a88a55ce1bfe29914c71b42512a49fd7de,SPA 2,Ella ha hecho mucho canciones y mucho disco compactos.,Ella ha hecho [mucho]{muchas}<ga:na:fm:ps:det:inan> canciones y [mucho]{muchos}<na:ps:det:inan> [disco]{discos}<na:ps:noun:inan> compactos.,3,[mucho]{muchas}<ga:na:fm:ps:det:inan>,0,ga:na:fm:ps:det:inan,muchas,mucho,"['Ella', 'ha', 'hecho', 'muchas', 'canciones', 'y', 'muchos', 'discos', 'compactos', '.']","[3, 14]",ga:na:fm:ps,"['Ella', 'ha', 'hecho', 'mucho', 'canciones', 'y', 'muchos', 'discos', 'compactos', '.']",gender and number agreement
56,93,0b15264898a844c43a7b036e69a910a88a55ce1bfe29914c71b42512a49fd7de,SPA 2,Ella ha hecho mucho canciones y mucho disco compactos.,Ella ha hecho [mucho]{muchas}<ga:na:fm:ps:det:inan> canciones y [mucho]{muchos}<na:ps:det:inan> [disco]{discos}<na:ps:noun:inan> compactos.,3,[mucho]{muchos}<na:ps:det:inan>,1,na:ps:det:inan,muchos,mucho,"['Ella', 'ha', 'hecho', 'muchas', 'canciones', 'y', 'muchos', 'discos', 'compactos', '.']","[6, 17]",na:ps,"['Ella', 'ha', 'hecho', 'muchas', 'canciones', 'y', 'mucho', 'discos', 'compactos', '.']",number agreement
56,93,0b15264898a844c43a7b036e69a910a88a55ce1bfe29914c71b42512a49fd7de,SPA 2,Ella ha hecho mucho canciones y mucho disco compactos.,Ella ha hecho [mucho]{muchas}<ga:na:fm:ps:det:inan> canciones y [mucho]{muchos}<na:ps:det:inan> [disco]{discos}<na:ps:noun:inan> compactos.,3,[disco]{discos}<na:ps:noun:inan>,2,na:ps:noun:inan,discos,disco,"['Ella', 'ha', 'hecho', 'muchas', 'canciones', 'y', 'muchos', 'discos', 'compactos', '.']","[7, 18]",na:ps,"['Ella', 'ha', 'hecho', 'muchas', 'canciones', 'y', 'muchos', 'disco', 'compactos', '.']",number agreement
56,93,17b21eb01b4820ee9e53c17aaa0da402d3498bdd86e1e4ad2489fbae006864db,SPA 2,Ella no es gordo y ella es muy generoso y no es tacano.,Ella no es [gordo]{gorda}<ga:fm:adj:an> y ella es muy [generoso]{generosa}<ga:fm:adj:an> y no es [tacano]{tacaña}<ga:fm:adj:an>.,3,[gordo]{gorda}<ga:fm:adj:an>,0,ga:fm:adj:an,gorda,gordo,"['Ella', 'no', 'es', 'gorda', 'y', 'ella', 'es', 'muy', 'generosa', 'y', 'no', 'es', 'tacaña', '.']","[3, 18]",ga:fm,"['Ella', 'no', 'es', 'gordo', 'y', 'ella', 'es', 'muy', 'generosa', 'y', 'no', 'es', 'tacaña', '.']",gender agreement
56,93,17b21eb01b4820ee9e53c17aaa0da402d3498bdd86e1e4ad2489fbae006864db,SPA 2,Ella no es gordo y ella es muy generoso y no es tacano.,Ella no es [gordo]{gorda}<ga:fm:adj:an> y ella es muy [generoso]{generosa}<ga:fm:adj:an> y no es [tacano]{tacaña}<ga:fm:adj:an>.,3,[generoso]{generosa}<ga:fm:adj:an>,1,ga:fm:adj:an,generosa,generoso,"['Ella', 'no', 'es', 'gorda', 'y', 'ella', 'es', 'muy', 'generosa', 'y', 'no', 'es', 'tacaña', '.']","[8, 23]",ga:fm,"['Ella', 'no', 'es', 'gorda', 'y', 'ella', 'es', 'muy', 'generoso', 'y', 'no', 'es', 'tacaña', '.']",gender agreement
56,93,17b21eb01b4820ee9e53c17aaa0da402d3498bdd86e1e4ad2489fbae006864db,SPA 2,Ella no es gordo y ella es muy generoso y no es tacano.,Ella no es [gordo]{gorda}<ga:fm:adj:an> y ella es muy [generoso]{generosa}<ga:fm:adj:an> y no es [tacano]{tacaña}<ga:fm:adj:an>.,3,[tacano]{tacaña}<ga:fm:adj:an>,2,ga:fm:adj:an,tacaña,tacano,"['Ella', 'no', 'es', 'gorda', 'y', 'ella', 'es', 'muy', 'generosa', 'y', 'no', 'es', 'tacaña', '.']","[12, 27]",ga:fm,"['Ella', 'no', 'es', 'gorda', 'y', 'ella', 'es', 'muy', 'generosa', 'y', 'no', 'es', 'tacano', '.']",gender agreement
57,94,5a454189526e8a6d3d428a8a19e2567f30c7b5c911e34aa50ea8b70022e57ec2,SPA 1,Kit tiene los manos grande.,Kit tiene [los]{las}<ga:fm:det:aty:inan> manos [grande]{grandes}<na:ps:adj:inan>.,2,[los]{las}<ga:fm:det:aty:inan>,0,ga:fm:det:aty:inan,las,los,"['Kit', 'tiene', 'las', 'manos', 'grandes', '.']","[2, 9]",ga:fm:det:aty,"['Kit', 'tiene', 'los', 'manos', 'grandes', '.']",gender agreement
57,94,5a454189526e8a6d3d428a8a19e2567f30c7b5c911e34aa50ea8b70022e57ec2,SPA 1,Kit tiene los manos grande.,Kit tiene [los]{las}<ga:fm:det:aty:inan> manos [grande]{grandes}<na:ps:adj:inan>.,2,[grande]{grandes}<na:ps:adj:inan>,1,na:ps:adj:inan,grandes,grande,"['Kit', 'tiene', 'las', 'manos', 'grandes', '.']","[4, 11]",na:ps,"['Kit', 'tiene', 'las', 'manos', 'grande', '.']",number agreement
60,97,c6b917d6fe7d84c46323d60fb1f1e1d0d047a0096c167d15e903269b5a418cd3,SPA 3,Sus receta más famosa es sus pan de plátanos.,[Sus]{su}<na:sp:det:inan> receta más famosa es [sus]{su}<na:sp:det:inan> pan de plátanos.,2,[Sus]{su}<na:sp:det:inan>,0,na:sp:det:inan,su,Sus,"['su', 'receta', 'más', 'famosa', 'es', 'su', 'pan', 'de', 'plátanos', '.']","[0, 11]",na:sp,"['Sus', 'receta', 'más', 'famosa', 'es', 'su', 'pan', 'de', 'plátanos', '.']",number agreement
