,paragraph_id,sentence_id,course,essay_new,annotated_sentence,anno_error_cnt,full_error_tag,order_tag,error_tag,correction,error,target,correction_index,error_type,source,new_error_type
6,13,452c9dc1a268e1cd5d57357198dc84aa00deacae5ec6c2007fbd5b22550e740e,SPA 1,"No confundas Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada.","No confundas []{a}<az:do:an> Selena Gomez con Selena Quintanilla, de quien Selena Gomez es nombrada.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['No', 'confundas', 'a', 'Selena', 'Gomez', 'con', 'Selena', 'Quintanilla', ',', 'de', 'quien', 'Selena', 'Gomez', 'es', 'nombrada', '.']","[2, 19]",az:do,"['No', 'confundas', '[NONE]', 'Selena', 'Gomez', 'con', 'Selena', 'Quintanilla', ',', 'de', 'quien', 'Selena', 'Gomez', 'es', 'nombrada', '.']",article
9,18,e627490f6722ef9caeb07e150107b31bcc9c088016a5791570f59dedab58433b,SPA 2,"Un Otro famoso actor, que llama Nicolas Cage, ayudo Johnny Depp empezar su profesión de actor.","Un Otro famoso actor, que llama Nicolas Cage, ayudo []{a}<az:do:an> Johnny Depp empezar su profesión de actor.",1,[]{a}<az:do:an>,0,az:do:an,a,,"['Un', 'Otro', 'famoso', 'actor', ',', 'que', 'llama', 'Nicolas', 'Cage', ',', 'ayudo', 'a', 'Johnny', 'Depp', 'empezar', 'su', 'profesión', 'de', 'actor', '.']","[11, 32]",az:do,"['Un', 'Otro', 'famoso', 'actor', ',', 'que', 'llama', 'Nicolas', 'Cage', ',', 'ayudo', '[NONE]', 'Johnny', 'Depp', 'empezar', 'su', 'profesión', 'de', 'actor', '.']",article
17,28,0e02104bc91f910260846ddba52137596f5b83525260c1e2bea381b74804d410,SPA 3,Princesa Anna y sus amigas quieren que ayuden Princesa Elsa.,Princesa Anna y sus amigas quieren que ayuden []{a}<az:do:an> Princesa Elsa.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Princesa', 'Anna', 'y', 'sus', 'amigas', 'quieren', 'que', 'ayuden', 'a', 'Princesa', 'Elsa', '.']","[8, 21]",az:do,"['Princesa', 'Anna', 'y', 'sus', 'amigas', 'quieren', 'que', 'ayuden', '[NONE]', 'Princesa', 'Elsa', '.']",article
17,28,dda3163fe647d016c4f212fd794343bd1b2446243a6ac3f7ebfb6ad30ae6c65a,SPA 3,Pero Eleanor dice su secreto a su amigo Chiddi y Chiddi quiere ayudar Eleanor.,Pero Eleanor dice su secreto a su amigo Chiddi y Chiddi quiere ayudar []{a}<az:do:an> Eleanor.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Pero', 'Eleanor', 'dice', 'su', 'secreto', 'a', 'su', 'amigo', 'Chiddi', 'y', 'Chiddi', 'quiere', 'ayudar', 'a', 'Eleanor', '.']","[13, 30]",az:do,"['Pero', 'Eleanor', 'dice', 'su', 'secreto', 'a', 'su', 'amigo', 'Chiddi', 'y', 'Chiddi', 'quiere', 'ayudar', '[NONE]', 'Eleanor', '.']",article
17,28,abb0ff0f493ec9cabdf7eaeb7b0e0078879fbe59f5768fc81130028ceb015690,SPA 3,Chiddi enseña Eleanor sobre cómo ser una persona buena.,Chiddi enseña []{a}<az:do:an> Eleanor sobre cómo ser una persona buena.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Chiddi', 'enseña', 'a', 'Eleanor', 'sobre', 'cómo', 'ser', 'una', 'persona', 'buena', '.']","[2, 14]",az:do,"['Chiddi', 'enseña', '[NONE]', 'Eleanor', 'sobre', 'cómo', 'ser', 'una', 'persona', 'buena', '.']",article
17,28,7f9adcb48b3f43d45a61fb8458ff3344cf36c92ed9322365b4bb52b9e0837643,SPA 3,Los amigos de Eleanor quieren ayudar Kristen .,Los amigos de Eleanor quieren ayudar []{a}<az:do:an> Kristen .,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Los', 'amigos', 'de', 'Eleanor', 'quieren', 'ayudar', 'a', 'Kristen', '.']","[6, 16]",az:do,"['Los', 'amigos', 'de', 'Eleanor', 'quieren', 'ayudar', '[NONE]', 'Kristen', '.']",article
18,29,988ef29b7ae9a3b40ad4482f306733365fe0e6a1ff9d49d9b3af4475fe5ec9e3,SPA 3,Keanu Reeves también estaba en John Wick en una estora onda el mata personas porque él es una assassino.,Keanu Reeves también estaba en John Wick en una estora onda el mata []{a}<az:do:an> personas porque él es una assassino.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Keanu', 'Reeves', 'también', 'estaba', 'en', 'John', 'Wick', 'en', 'una', 'estora', 'onda', 'el', 'mata', 'a', 'personas', 'porque', 'él', 'es', 'una', 'assassino', '.']","[13, 35]",az:do,"['Keanu', 'Reeves', 'también', 'estaba', 'en', 'John', 'Wick', 'en', 'una', 'estora', 'onda', 'el', 'mata', '[NONE]', 'personas', 'porque', 'él', 'es', 'una', 'assassino', '.']",article
21,34,16a1464728c38c5f728248848453a39cfcc471124b702a64debec2d8b84ecea4,SPA 3,No puedo escuchar a su musica cuando estoy en el carro con mis padres porque ella diga palabras mala.,No puedo escuchar [a]{}<za:do:inan> su musica cuando estoy en el carro con mis padres porque ella diga palabras mala.,1,[a]{}<za:do:inan>,0,za:do:inan,,a,"['No', 'puedo', 'escuchar', '[NONE]', 'su', 'musica', 'cuando', 'estoy', 'en', 'el', 'carro', 'con', 'mis', 'padres', 'porque', 'ella', 'diga', 'palabras', 'mala', '.']","[3, 24]",za:do,"['No', 'puedo', 'escuchar', 'a', 'su', 'musica', 'cuando', 'estoy', 'en', 'el', 'carro', 'con', 'mis', 'padres', 'porque', 'ella', 'diga', 'palabras', 'mala', '.']",article
22,35,686f1fb0ba67e955ff89ad69415f5fb37a987d86ca5a29c6904dc47ca75fa0e4,SPA 3,Mientras era presidente creó muchos trabajos y ayudó a la economía.,Mientras era presidente creó muchos trabajos y ayudó [a]{}<za:do:inan> la economía.,1,[a]{}<za:do:inan>,0,za:do:inan,,a,"['Mientras', 'era', 'presidente', 'creó', 'muchos', 'trabajos', 'y', 'ayudó', '[NONE]', 'la', 'economía', '.']","[8, 21]",za:do,"['Mientras', 'era', 'presidente', 'creó', 'muchos', 'trabajos', 'y', 'ayudó', 'a', 'la', 'economía', '.']",article
40,65,8959e21b07837f54d00062bdd601671610bfebb159b8e174a99d618ed8d9dbe2,SPA 3,"Cuando alguien escucha a las canciones, puede sentirse escuchado y entendido.","Cuando alguien escucha [a]{}<za:do:inan> las canciones, puede sentirse escuchado y entendido.",1,[a]{}<za:do:inan>,0,za:do:inan,,a,"['Cuando', 'alguien', 'escucha', '[NONE]', 'las', 'canciones', ',', 'puede', 'sentirse', 'escuchado', 'y', 'entendido', '.']","[3, 17]",za:do,"['Cuando', 'alguien', 'escucha', 'a', 'las', 'canciones', ',', 'puede', 'sentirse', 'escuchado', 'y', 'entendido', '.']",article
45,71,32941ba77d49c383a207ba106c4f17ba3cdd3b65d1743530dfc1706b1b3d8be6,SPA 1,Yo miro él en la television.,Yo miro []{a}<az:do:an> él en la television.,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Yo', 'miro', 'a', 'él', 'en', 'la', 'television', '.']","[2, 11]",az:do,"['Yo', 'miro', '[NONE]', 'él', 'en', 'la', 'television', '.']",article
49,79,a3026134ceff24e8e851033af78a3347c58e16995dccc680624ecdfd6bd87f50,SPA 3,Estaba feliz de ver Ariana cantar mi favorita música!,Estaba feliz de ver []{a}<az:do:an> Ariana cantar mi favorita música!,1,[]{a}<az:do:an>,0,az:do:an,a,,"['Estaba', 'feliz', 'de', 'ver', 'a', 'Ariana', 'cantar', 'mi', 'favorita', 'música', '!']","[4, 16]",az:do,"['Estaba', 'feliz', 'de', 'ver', '[NONE]', 'Ariana', 'cantar', 'mi', 'favorita', 'música', '!']",article
53,86,f971db749f45bb3bb674669a349128acb321cf68ce3e3b0265997819ec57ad4b,SPA 3,Una vez conocí a casa cuando yo estaba en el colegio comunitario.,Una vez conocí [a]{}<za:do:inan> casa cuando yo estaba en el colegio comunitario.,1,[a]{}<za:do:inan>,0,za:do:inan,,a,"['Una', 'vez', 'conocí', '[NONE]', 'casa', 'cuando', 'yo', 'estaba', 'en', 'el', 'colegio', 'comunitario', '.']","[3, 17]",za:do,"['Una', 'vez', 'conocí', 'a', 'casa', 'cuando', 'yo', 'estaba', 'en', 'el', 'colegio', 'comunitario', '.']",article
